m_id,m_name,m_instruments1,,,
1,Paul Day,vocals,,,
2,Terry Rance,vocals,,,
3,Dave Sullivan,guitars,,,
4,Ron (Rebel) Matthews,drums,,,
5,Dennis Wilcock,vocals,,,
6,Bob Sawyer,guitars,,,
7,Terry Wapram,guitars,,,
8,Thunderstick,drums,,,
9,Tony Moore,keyboards,,,
10,Doug Sampson,drums,,,
11,Paul Di' Anno,vocals,,,
12,Paul Cairns,guitars,,,
13,Paul Todd,guitars,,,
14,Tony Parsons,guitars,,,
15,Dennis Stratton,guitars,backing vocals,,
16,Clive Burr,drums,,,
17,Blaze Bayley,vocals,,,
18,Steve Harris,bass,backing vocals,studio keyboards,
19,Dave Murray,lead,rhythm guitars,,
20,Adrian Smith,lead,rhythm guitars,backing vocals,studio keyboards
21,Bruce Dickinson,lead vocals,piano,,
22,Nicko McBrain,drums,percussion,,
23,Janick Gers,lead,rhythm guitars,,
